Vote_Code,Entity_Name,Levy_Type,Dimension,Transaction_Category,Project_or_Specific_Issue,Metric,Value_Ksh,Legal_Compliance,Risk_Factor,Page_Ref,Finding_Summary
N/A,KRA,Multi-Levy,Recommendation Follow-Up,Audit Finding,Inaccuracies in Agency Grant Statements,Unreconciled_Balance,2391497000,Public Audit Act 2015,CRITICAL,109,The Auditor-General reported a 2.39 Billion unexplained variance between agency income and actual Treasury funding received.
N/A,KRA,Multi-Levy,Opacity,Audit Finding,Unsupported Administrative Expenses,Audited_Expenditure,403920000,Article 229 of the Constitution,MEDIUM,112,KRA failed to provide supporting details for insurance premiums amounting to 403.9M.
N/A,KRA,Roads Infrastructure,Project Absorption,Commitment,Horn of Africa Gateway Development Project,Allocated_Fund,337469000,Not stated,MEDIUM,121,The 2024/2025 budget allocation for the Horn of Africa Gateway project was 337.4M.
N/A,KRA,Roads Infrastructure,Project Absorption,Project Spend,Horn of Africa Gateway Development Project,Actual_Spend,336529000,Not stated,MEDIUM,121,KRA successfully absorbed 336.5M of the project funds during the financial year.
N/A,KRA,Roads Infrastructure,Project Absorption,Project Spend,Horn of Africa Gateway Development Project,Variance,940000,Not stated,MEDIUM,121,A minor unabsorbed variance of 940k remained on the Horn of Africa Gateway project.
N/A,KRA,Roads Infrastructure,Project Absorption,Commitment,Eastern Africa Regional Transport Trade & Dev Project,Allocated_Fund,482700000,Not stated,MEDIUM,121,The budget for the Eastern Africa Regional Transport project was 482.7M.
N/A,KRA,Roads Infrastructure,Project Absorption,Project Spend,Eastern Africa Regional Transport Trade & Dev Project,Actual_Spend,482700000,Not stated,MEDIUM,121,KRA completely absorbed the 482.7M budget for the Eastern Africa Regional Transport project with zero unspent balance.
---INSIGHTS---
HEADLINE: KRA missed its overall Exchequer remittance target by Kshs 24 billion while sitting on a critical Kshs 2.39 billion unreconciled agency grant balance and losing over Kshs 120 million to unaccounted excise stamps right from the Times Tower vault.
COLLECTION & TARGETS:
KRA missed its primary mandate target for Exchequer collections by a massive Kshs 24 billion, bringing in Kshs 2.32 trillion against a 2.34 trillion target.
Conversely, Agency Revenues (funds KRA collects on behalf of other state organs) overperformed by Kshs 40.5 billion.
RMLF commission revenues shot up dramatically after the state hiked the Road Maintenance Levy from Kshs 18 to Kshs 25 per litre.
The Housing Levy commission income dropped from previous years solely because KRA's collection cut was slashed from 2% down to 0.5%, though overall collections against the target outperformed expectations.
RISK & LOSSES:
The Auditor-General exposed a gaping control failure involving 23.7 million missing excise stamps at the KRA vault, resulting in a potential direct revenue loss of Kshs 120.2 million. The bulk of this loss (Kshs 95.8 million) stemmed from unaccounted water stamps.
A critical Kshs 2.39 billion variance exists in the agency grant funding reporting, directly contradicting National Treasury disbursed figures.
ABSORPTION:
KRA demonstrated excellent capital absorption on donor-funded transport infrastructure projects; it fully absorbed the Kshs 482.7 million for the Eastern Africa Regional Transport Project and left an insignificant Kshs 940,000 unabsorbed on the Horn of Africa Gateway Project.
RECOMMENDATION FOLLOW-UP:
Audit findings continue to highlight opacity in KRA's administrative spending, specifically identifying Kshs 403.9 million in insurance premium expenses that completely lack supporting documentation.
WHAT THIS MEANS FOR CITIZENS:
When KRA misses the Exchequer target by Kshs 24 billion while losing millions of excise stamps from its own high-security vaults, it directly translates to less money for public services and heavier tax burdens on ordinary citizens to make up the difference. However, the data also reveals that Kenyans are aggressively funding agency priorities, as evidenced by massive spikes in Road Maintenance and Housing Levy collections driven by recent controversial rate hikes.
